epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,625.272,1.59016,0.92214,0.84641,0.97978,0.91928,0.98024,0.68024,1.13085,0.93102,0.82039,0.000355368,0.000355368,0.000355368
80,635.078,1.27551,0.77951,0.85215,0.97978,0.91928,0.98024,0.68024,1.13085,0.93102,0.82039,0.000344282,0.000344282,0.000344282
81,643.763,1.15157,0.66262,0.82975,0.98012,0.9355,0.98283,0.69295,1.10375,0.89447,0.81848,0.0003328,0.0003328,0.0003328
82,653.561,1.19587,0.67152,0.83921,0.98012,0.9355,0.98283,0.69295,1.10375,0.89447,0.81848,0.000320922,0.000320922,0.000320922
83,662.317,1.14693,0.65839,0.81565,0.98012,0.9355,0.98283,0.69295,1.10375,0.89447,0.81848,0.000308648,0.000308648,0.000308648
84,671.955,1.18839,0.68933,0.83115,0.97835,0.93631,0.98284,0.70255,1.07623,0.87635,0.81641,0.000295978,0.000295978,0.000295978
85,683.185,1.2652,0.67988,0.82826,0.97835,0.93631,0.98284,0.70255,1.07623,0.87635,0.81641,0.000282912,0.000282912,0.000282912
86,692.101,1.10764,0.7056,0.8456,0.97835,0.93631,0.98284,0.70255,1.07623,0.87635,0.81641,0.00026945,0.00026945,0.00026945
87,702.173,1.24847,0.68667,0.82149,0.97835,0.93631,0.98284,0.70255,1.07623,0.87635,0.81641,0.000255592,0.000255592,0.000255592
88,712.921,1.50253,0.75258,0.84668,0.97783,0.93902,0.98353,0.70708,1.06701,0.84417,0.81577,0.000241338,0.000241338,0.000241338
89,722.917,1.10697,0.67344,0.83356,0.97783,0.93902,0.98353,0.70708,1.06701,0.84417,0.81577,0.000226688,0.000226688,0.000226688
90,733.818,1.36947,0.7002,0.83814,0.97783,0.93902,0.98353,0.70708,1.06701,0.84417,0.81577,0.000211642,0.000211642,0.000211642
91,743.821,1.15008,0.72567,0.84447,0.97783,0.93902,0.98353,0.70708,1.06701,0.84417,0.81577,0.0001962,0.0001962,0.0001962
92,754.674,1.1768,0.73861,0.82255,0.97297,0.9458,0.98516,0.70751,1.06437,0.78946,0.81533,0.000180362,0.000180362,0.000180362
93,763.159,1.19197,0.7049,0.86736,0.97297,0.9458,0.98516,0.70751,1.06437,0.78946,0.81533,0.000164128,0.000164128,0.000164128
94,770.843,1.19091,0.73064,0.861,0.97297,0.9458,0.98516,0.70751,1.06437,0.78946,0.81533,0.000147498,0.000147498,0.000147498
95,778.49,1.20965,0.72448,0.87584,0.97297,0.9458,0.98516,0.70751,1.06437,0.78946,0.81533,0.000130472,0.000130472,0.000130472
96,786.107,1.12838,0.70036,0.83199,0.9699,0.94715,0.98629,0.70802,1.05773,0.75792,0.81511,0.00011305,0.00011305,0.00011305
97,793.507,1.07399,0.67016,0.82448,0.9699,0.94715,0.98629,0.70802,1.05773,0.75792,0.81511,9.5232e-05,9.5232e-05,9.5232e-05
98,801.384,1.1719,0.72548,0.86882,0.9699,0.94715,0.98629,0.70802,1.05773,0.75792,0.81511,7.7018e-05,7.7018e-05,7.7018e-05
99,809.006,1.37747,0.96113,0.8189,0.9699,0.94715,0.98629,0.70802,1.05773,0.75792,0.81511,5.8408e-05,5.8408e-05,5.8408e-05
100,816.379,1.06486,0.64663,0.82639,0.96956,0.94961,0.9879,0.71106,1.0499,0.71684,0.81455,3.9402e-05,3.9402e-05,3.9402e-05
